user_id,activity_level,home_type,grooming_preference,time_available,experience_level,preferred_dog_size,PetName,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,avg_weight_z,avg_height_z
187,Moderate,Small Apartment,Very High,Limited,First-time owner,Small,Poodle (Toy),1.0,0.2,0.6,1.0,0.8,-1.3129136428543455,-1.557273935270929
188,Low,House,High,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
189,Very Low,Rural,Very Low,Part-time,Experienced,Medium,French Bulldog,0.2,0.8,0.4,0.6,0.6,-0.6389141873785233,-1.2144106426171406
190,Very Low,House,Very High,Minimal,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
191,Very Low,Rural,Low,Limited,Experienced,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
192,Low,Large Apartment,Very High,Full-time,Experienced,Small,Bichon Frise,1.0,0.2,0.6,0.6,1.0,-1.0198704013431183,-1.471558112107482
193,Very High,Rural,Medium,Full-time,First-time owner,Large,Leonberger,0.8,0.8,0.6,1.0,0.8,2.350126876035992,1.6142115217766122
194,Low,Small Apartment,Medium,Minimal,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
195,Moderate,House,Very High,Limited,First-time owner,Small,Affenpinscher,0.6,0.6,0.6,0.8,1.0,-1.210348508325416,-1.5144160236892057
196,Very Low,Rural,Very High,Minimal,Experienced,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
197,Moderate,House,Very Low,Full-time,First-time owner,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
198,Very Low,Large Apartment,High,Minimal,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
199,Moderate,Rural,Very High,Part-time,First-time owner,Medium,Cocker Spaniel,0.8,0.4,0.6,1.0,1.0,-0.7268271598318915,-0.7858315267999056
200,Low,Small Apartment,High,Limited,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
201,Low,Rural,High,Minimal,Experienced,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
202,Moderate,Small Apartment,Medium,Full-time,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
203,Low,Large Apartment,High,Part-time,First-time owner,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
204,Low,House,Very High,Limited,Expert,Large,Boerboel,0.2,0.4,0.4,0.6,0.4,3.668821462836513,0.928484936469036
205,Very High,Small Apartment,Very Low,Full-time,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
206,Very High,Rural,Very Low,Part-time,Experienced,Medium,American Bulldog,0.2,0.6,0.8,0.6,0.6,0.8849106684798567,0.5856216438152473
207,High,Large Apartment,Medium,Full-time,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
208,Very Low,Rural,Very High,Full-time,Expert,Large,Caucasian Shepherd Dog,0.6,0.8,0.4,0.4,0.2,2.4819963347160443,1.271348229122824
209,Low,House,Very High,Part-time,First-time owner,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
210,Very Low,House,Very High,Full-time,First-time owner,Small,Poodle (Toy),1.0,0.2,0.6,1.0,0.8,-1.3129136428543455,-1.557273935270929
211,Very High,Large Apartment,High,Part-time,Experienced,Medium,Cocker Spaniel,0.8,0.4,0.6,1.0,1.0,-0.7268271598318915,-0.7858315267999056
212,Low,House,Very High,Full-time,Experienced,Medium,Miniature Schnauzer,1.0,0.2,0.6,1.0,0.6,-1.005218239267557,-1.0429789962902465
213,High,Small Apartment,Very High,Full-time,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
214,Moderate,Large Apartment,High,Limited,Experienced,Small,Havanese,0.6,0.4,0.6,0.8,1.0,-1.1663920220987318,-1.557273935270929
215,Very Low,Large Apartment,Very Low,Limited,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
216,Very Low,Rural,Low,Full-time,Experienced,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
217,Very High,Small Apartment,Low,Part-time,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
218,Moderate,Rural,Very Low,Limited,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
219,High,Rural,Very High,Part-time,First-time owner,Large,Leonberger,0.8,0.8,0.6,1.0,0.8,2.350126876035992,1.6142115217766122
220,Moderate,House,Very Low,Full-time,Experienced,Large,Mastiff,0.2,0.4,0.6,0.6,0.6,3.668821462836513,1.657069433358336
221,Very Low,House,Low,Minimal,Experienced,Small,Tibetan Spaniel,0.4,0.6,0.4,0.6,0.6,-1.1077833737964866,-1.557273935270929
222,Very Low,House,Low,Minimal,Expert,Medium,Lapponian Herder,0.4,0.6,0.6,1.0,0.4,0.59186742696863,-0.0143891183288821
223,Very High,Large Apartment,High,Part-time,First-time owner,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
224,Low,Rural,Medium,Minimal,Expert,Large,Boerboel,0.2,0.4,0.4,0.6,0.4,3.668821462836513,0.928484936469036
225,Moderate,Large Apartment,Very Low,Limited,Experienced,Small,Cairn Terrier,0.4,0.4,0.6,0.6,0.8,-1.0638268875698025,-1.6001318468526526
226,Low,House,Medium,Part-time,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
227,Very Low,House,Very Low,Minimal,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
228,Low,Large Apartment,Medium,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
229,Low,Rural,High,Minimal,Expert,Large,Boerboel,0.2,0.4,0.4,0.6,0.4,3.668821462836513,0.928484936469036
230,Very Low,House,Very High,Limited,First-time owner,Small,Affenpinscher,0.6,0.6,0.6,0.8,1.0,-1.210348508325416,-1.5144160236892057
231,Very Low,Small Apartment,Very Low,Minimal,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
232,High,House,Medium,Part-time,Experienced,Large,Great Dane,0.2,0.6,0.8,0.6,0.6,2.7164309279250256,1.8713589912669533
233,Low,Rural,Very Low,Minimal,Expert,Large,Boerboel,0.2,0.4,0.4,0.6,0.4,3.668821462836513,0.928484936469036
234,Very Low,House,Very Low,Minimal,Expert,Small,Tibetan Spaniel,0.4,0.6,0.4,0.6,0.6,-1.1077833737964866,-1.557273935270929
235,Low,Large Apartment,High,Full-time,Experienced,Medium,Cocker Spaniel,0.8,0.4,0.6,1.0,1.0,-0.7268271598318915,-0.7858315267999056
236,Very Low,Rural,Low,Limited,Expert,Medium,Clumber Spaniel,0.4,0.8,0.6,0.6,0.4,0.59186742696863,-0.1001049414923294
237,Low,Rural,Low,Limited,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
238,Low,Large Apartment,Low,Minimal,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
239,High,Rural,Medium,Full-time,Expert,Large,Caucasian Shepherd Dog,0.6,0.8,0.4,0.4,0.2,2.4819963347160443,1.271348229122824
240,Moderate,Small Apartment,Very High,Part-time,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
241,Low,Rural,Medium,Limited,Expert,Medium,Old English Sheepdog,0.6,0.6,0.6,0.4,0.6,0.8849106684798567,0.4141899974883533
242,Very High,Large Apartment,Low,Part-time,First-time owner,Medium,Border Terrier,0.4,0.4,0.6,0.8,0.8,-1.0638268875698025,-0.9572631731267998
243,Low,Large Apartment,High,Minimal,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
244,Very Low,House,Low,Limited,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
245,Low,Small Apartment,Medium,Part-time,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
246,Moderate,Rural,High,Full-time,Experienced,Medium,Cocker Spaniel,0.8,0.4,0.6,1.0,1.0,-0.7268271598318915,-0.7858315267999056
247,Very High,House,Low,Part-time,Expert,Small,Australian Terrier,0.4,0.2,0.8,0.6,0.8,-0.9466095909653116,-1.471558112107482
248,Very High,House,High,Part-time,First-time owner,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
249,Low,Rural,Low,Full-time,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
250,Very Low,Small Apartment,Very Low,Limited,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
251,Very High,House,Medium,Full-time,First-time owner,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
252,Low,Rural,Very Low,Minimal,Experienced,Large,Mastiff,0.2,0.4,0.6,0.6,0.6,3.668821462836513,1.657069433358336
253,Very Low,Large Apartment,Low,Minimal,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
254,Low,Small Apartment,Very Low,Minimal,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
255,Moderate,Small Apartment,Very Low,Part-time,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
256,Very Low,Large Apartment,High,Limited,First-time owner,Small,Havanese,0.6,0.4,0.6,0.8,1.0,-1.1663920220987318,-1.557273935270929
257,Very Low,House,Low,Full-time,Experienced,Small,Tibetan Spaniel,0.4,0.6,0.4,0.6,0.6,-1.1077833737964866,-1.557273935270929
258,Low,Rural,Very High,Minimal,Experienced,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
259,Low,Small Apartment,High,Full-time,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
260,Very Low,Rural,Very Low,Full-time,Experienced,Medium,French Bulldog,0.2,0.8,0.4,0.6,0.6,-0.6389141873785233,-1.2144106426171406
261,Very High,House,High,Part-time,First-time owner,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
262,High,House,High,Full-time,Experienced,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
263,High,Large Apartment,Very Low,Full-time,Experienced,Small,Cairn Terrier,0.4,0.4,0.6,0.6,0.8,-1.0638268875698025,-1.6001318468526526
264,Moderate,Small Apartment,High,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
265,Very High,Small Apartment,Low,Part-time,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
266,Moderate,House,Very High,Part-time,Experienced,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
267,Low,Large Apartment,Low,Limited,First-time owner,Small,Havanese,0.6,0.4,0.6,0.8,1.0,-1.1663920220987318,-1.557273935270929
268,Low,House,Very High,Limited,First-time owner,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
269,Moderate,House,High,Part-time,First-time owner,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
270,Very High,Large Apartment,Medium,Full-time,Experienced,Small,Havanese,0.6,0.4,0.6,0.8,1.0,-1.1663920220987318,-1.557273935270929
271,Low,House,Very Low,Limited,First-time owner,Small,Papillon,0.4,0.6,0.6,1.0,1.0,-1.2396528324765386,-1.642989758434376
272,Low,Small Apartment,Very High,Part-time,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
273,Low,Large Apartment,Low,Minimal,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
274,Low,House,Very High,Full-time,First-time owner,Medium,Poodle (Standard),1.0,0.2,0.6,1.0,0.8,0.1523025647017896,-0.7001157036364584
275,High,House,Medium,Full-time,Expert,Large,Great Dane,0.2,0.6,0.8,0.6,0.6,2.7164309279250256,1.8713589912669533
276,Very Low,Rural,High,Full-time,Experienced,Medium,Cocker Spaniel,0.8,0.4,0.6,1.0,1.0,-0.7268271598318915,-0.7858315267999056
277,Very Low,House,Low,Minimal,Experienced,Small,Tibetan Spaniel,0.4,0.6,0.4,0.6,0.6,-1.1077833737964866,-1.557273935270929
278,Very High,Large Apartment,Very High,Full-time,Expert,Small,Bichon Frise,1.0,0.2,0.6,0.6,1.0,-1.0198704013431183,-1.471558112107482
279,Low,Large Apartment,Low,Limited,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
280,Low,Rural,Medium,Minimal,Expert,Medium,Clumber Spaniel,0.4,0.8,0.6,0.6,0.4,0.59186742696863,-0.1001049414923294
281,High,Rural,Medium,Full-time,Expert,Large,Caucasian Shepherd Dog,0.6,0.8,0.4,0.4,0.2,2.4819963347160443,1.271348229122824
282,Low,Small Apartment,Very High,Part-time,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
283,Very Low,Large Apartment,Medium,Full-time,Experienced,Medium,American Water Spaniel,0.6,0.2,0.6,1.0,0.8,-0.4337839183206645,-0.4429682341461175
284,Low,Rural,Low,Limited,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
285,Moderate,Small Apartment,Low,Limited,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
286,Very High,Large Apartment,High,Full-time,First-time owner,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
287,Very High,Rural,Very Low,Full-time,Experienced,Medium,Doberman Pinscher,0.2,0.8,1.0,1.0,0.6,0.8849106684798567,1.1856324059593772
288,Very Low,Large Apartment,Medium,Full-time,Experienced,Medium,American Water Spaniel,0.6,0.2,0.6,1.0,0.8,-0.4337839183206645,-0.4429682341461175
289,Very Low,Large Apartment,Medium,Minimal,First-time owner,Small,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
290,High,Small Apartment,Low,Part-time,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
291,Very High,Rural,High,Part-time,Experienced,Large,Leonberger,0.8,0.8,0.6,1.0,0.8,2.350126876035992,1.6142115217766122
292,Very High,Small Apartment,High,Full-time,First-time owner,Small,Poodle (Toy),1.0,0.2,0.6,1.0,0.8,-1.3129136428543455,-1.557273935270929
293,Low,Large Apartment,Low,Limited,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
294,Low,Small Apartment,Very Low,Limited,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
295,Low,Small Apartment,Low,Part-time,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
296,Moderate,Rural,High,Part-time,Expert,Medium,Old English Sheepdog,0.6,0.6,0.6,0.4,0.6,0.8849106684798567,0.4141899974883533
297,Low,Large Apartment,Medium,Limited,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
298,Low,House,Very High,Full-time,Experienced,Small,Bichon Frise,1.0,0.2,0.6,0.6,1.0,-1.0198704013431183,-1.471558112107482
299,Low,House,Very Low,Part-time,Expert,Small,Chihuahua,0.2,0.4,0.6,0.4,0.6,-1.2836093187032225,-2.157284697415059
300,High,Rural,Low,Full-time,First-time owner,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
301,Very High,Small Apartment,Very High,Full-time,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
302,Very High,Large Apartment,Medium,Part-time,First-time owner,Medium,American Water Spaniel,0.6,0.2,0.6,1.0,0.8,-0.4337839183206645,-0.4429682341461175
303,Very Low,Small Apartment,High,Minimal,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
304,Very High,Rural,Low,Full-time,First-time owner,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
305,Low,Large Apartment,High,Full-time,First-time owner,Medium,Cocker Spaniel,0.8,0.4,0.6,1.0,1.0,-0.7268271598318915,-0.7858315267999056
306,High,House,High,Part-time,Expert,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
307,High,Large Apartment,Low,Full-time,First-time owner,Medium,Border Terrier,0.4,0.4,0.6,0.8,0.8,-1.0638268875698025,-0.9572631731267998
308,Very Low,Rural,Medium,Part-time,Expert,Medium,Old English Sheepdog,0.6,0.6,0.6,0.4,0.6,0.8849106684798567,0.4141899974883533
309,Very High,Small Apartment,Medium,Part-time,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
310,High,Large Apartment,High,Part-time,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
311,Low,Rural,Medium,Full-time,First-time owner,Large,Leonberger,0.8,0.8,0.6,1.0,0.8,2.350126876035992,1.6142115217766122
312,Very Low,Large Apartment,Low,Part-time,First-time owner,Small,Havanese,0.6,0.4,0.6,0.8,1.0,-1.1663920220987318,-1.557273935270929
313,Very Low,House,High,Minimal,Expert,Small,Tibetan Spaniel,0.4,0.6,0.4,0.6,0.6,-1.1077833737964866,-1.557273935270929
314,Very Low,Large Apartment,Very High,Minimal,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
315,High,Small Apartment,Very Low,Full-time,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
316,Very Low,Small Apartment,Low,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
317,Low,Large Apartment,High,Limited,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
318,Very Low,Large Apartment,Medium,Full-time,First-time owner,Medium,American Water Spaniel,0.6,0.2,0.6,1.0,0.8,-0.4337839183206645,-0.4429682341461175
319,Moderate,Rural,Medium,Part-time,Expert,Medium,Old English Sheepdog,0.6,0.6,0.6,0.4,0.6,0.8849106684798567,0.4141899974883533
320,High,House,Medium,Full-time,Expert,Small,Affenpinscher,0.6,0.6,0.6,0.8,1.0,-1.210348508325416,-1.5144160236892057
321,Very Low,Small Apartment,Medium,Minimal,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
322,Low,House,Very High,Full-time,First-time owner,Small,Poodle (Toy),1.0,0.2,0.6,1.0,0.8,-1.3129136428543455,-1.557273935270929
323,Very Low,Large Apartment,Very Low,Full-time,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
324,Low,Small Apartment,Low,Full-time,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
325,Very Low,Rural,Medium,Minimal,Expert,Large,Boerboel,0.2,0.4,0.4,0.6,0.4,3.668821462836513,0.928484936469036
326,Moderate,Small Apartment,Medium,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
327,Very High,Large Apartment,Medium,Part-time,Experienced,Small,Havanese,0.6,0.4,0.6,0.8,1.0,-1.1663920220987318,-1.557273935270929
328,Low,Rural,Very High,Minimal,Expert,Large,Boerboel,0.2,0.4,0.4,0.6,0.4,3.668821462836513,0.928484936469036
329,Very Low,Rural,Very Low,Full-time,Expert,Large,Boerboel,0.2,0.4,0.4,0.6,0.4,3.668821462836513,0.928484936469036
330,Very Low,Rural,Very Low,Full-time,First-time owner,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
331,Low,Large Apartment,Low,Part-time,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
332,Moderate,Small Apartment,High,Full-time,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
333,Low,Large Apartment,Very High,Minimal,First-time owner,Small,Poodle (Toy),1.0,0.2,0.6,1.0,0.8,-1.3129136428543455,-1.557273935270929
334,Moderate,House,Very Low,Limited,First-time owner,Medium,Border Terrier,0.4,0.4,0.6,0.8,0.8,-1.0638268875698025,-0.9572631731267998
335,Very High,Rural,Medium,Part-time,Expert,Medium,Old English Sheepdog,0.6,0.6,0.6,0.4,0.6,0.8849106684798567,0.4141899974883533
336,Moderate,Rural,Medium,Limited,Experienced,Medium,American Water Spaniel,0.6,0.2,0.6,1.0,0.8,-0.4337839183206645,-0.4429682341461175
337,Low,Small Apartment,Low,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
338,Moderate,Small Apartment,Low,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
339,Low,Rural,High,Minimal,Experienced,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
340,Low,Rural,Very High,Minimal,Expert,Medium,Clumber Spaniel,0.4,0.8,0.6,0.6,0.4,0.59186742696863,-0.1001049414923294
341,Low,Rural,Very Low,Minimal,Expert,Large,Boerboel,0.2,0.4,0.4,0.6,0.4,3.668821462836513,0.928484936469036
342,Moderate,House,Low,Full-time,Experienced,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
343,Very Low,Small Apartment,High,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
344,Low,Small Apartment,Medium,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
345,Very High,Large Apartment,Very High,Part-time,Experienced,Medium,Cocker Spaniel,0.8,0.4,0.6,1.0,1.0,-0.7268271598318915,-0.7858315267999056
346,Low,Small Apartment,Low,Minimal,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
347,Moderate,Large Apartment,Very High,Limited,First-time owner,Small,Havanese,0.6,0.4,0.6,0.8,1.0,-1.1663920220987318,-1.557273935270929
348,Moderate,Small Apartment,High,Limited,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
349,Low,Rural,High,Minimal,Expert,Medium,Clumber Spaniel,0.4,0.8,0.6,0.6,0.4,0.59186742696863,-0.1001049414923294
350,Low,House,Very Low,Minimal,First-time owner,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
351,Low,Large Apartment,Very High,Minimal,First-time owner,Small,Poodle (Toy),1.0,0.2,0.6,1.0,0.8,-1.3129136428543455,-1.557273935270929
352,Moderate,Large Apartment,Very High,Part-time,Expert,Small,Coton de Tulear,0.8,0.4,0.6,0.8,1.0,-1.122435535872048,-1.557273935270929
353,Low,Small Apartment,High,Full-time,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
354,Low,Small Apartment,Very High,Part-time,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
355,Moderate,Rural,Medium,Limited,First-time owner,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
356,Low,Rural,Very High,Full-time,Experienced,Medium,Miniature Schnauzer,1.0,0.2,0.6,1.0,0.6,-1.005218239267557,-1.0429789962902465
357,Very High,Small Apartment,Very Low,Full-time,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
358,Low,Large Apartment,High,Minimal,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
359,Very Low,Small Apartment,Very High,Limited,First-time owner,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
360,Low,Rural,Medium,Minimal,Expert,Large,Boerboel,0.2,0.4,0.4,0.6,0.4,3.668821462836513,0.928484936469036
361,Very High,House,Very Low,Full-time,First-time owner,Small,Lancashire Heeler,0.2,0.6,0.8,0.8,0.8,-1.0784790496453638,-1.3858422889440352
362,Very Low,Large Apartment,Medium,Minimal,Expert,Medium,Hanoverian Scenthound,0.2,0.2,0.6,0.4,0.4,1.148649585839961,0.1570425279980119
363,Low,Small Apartment,Very Low,Part-time,Experienced,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
364,Very Low,Rural,Low,Limited,Experienced,Large,Newfoundland,0.4,0.6,0.6,0.8,0.8,2.2036052552803778,1.3570640522862718
365,Moderate,Rural,Medium,Full-time,First-time owner,Large,Leonberger,0.8,0.8,0.6,1.0,0.8,2.350126876035992,1.6142115217766122
366,Low,Large Apartment,Low,Minimal,Expert,Small,Bolognese,0.6,0.2,0.4,0.6,0.8,-1.2469789135143194,-1.3858422889440352
367,Low,Large Apartment,Very High,Minimal,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
368,Low,Rural,Low,Minimal,First-time owner,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
369,Very Low,House,Very High,Minimal,Experienced,Medium,Cavalier King Charles Spaniel,0.4,0.4,0.4,1.0,0.8,-1.005218239267557,-1.128694819453694
370,Low,Large Apartment,Very High,Limited,First-time owner,Small,Havanese,0.6,0.4,0.6,0.8,1.0,-1.1663920220987318,-1.557273935270929
371,Moderate,Small Apartment,Very High,Full-time,First-time owner,Small,Poodle (Toy),1.0,0.2,0.6,1.0,0.8,-1.3129136428543455,-1.557273935270929
372,Very Low,House,Very Low,Part-time,Experienced,Medium,American Staffordshire Terrier,0.2,0.4,0.6,0.6,0.6,0.1523025647017896,-0.1858207646557762
